test,group1,job-type1,seq-type1,tool-1,rep-1,group2,job-type2,seq-type2,Tool,rep-2,Fractional distance
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,FastML,5,0.14945054945054945
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,FastML,5,0.13186813186813187
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,FastML,5,0.08791208791208792
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,FastML,5,0.14945054945054945
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,FastML,5,0.16923076923076924
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,FastML,5,0.17362637362637362
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,FastML,5,0.13406593406593406
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,FastML,5,0.11648351648351649
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,FastML,5,0.12747252747252746
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,FastML,5,0.14725274725274726
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,FastML,5,0.15164835164835164
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,FastML,5,0.14285714285714285
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,FastML,5,0.07252747252747253
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,FastML,5,0.16263736263736264
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,FastML,5,0.16043956043956045
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,FastML,5,0.05934065934065934
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,FastML,5,0.15824175824175823
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,FastML,5,0.16703296703296702
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,FastML,5,0.08351648351648351
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,FastML,5,0.14505494505494507
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,GRASP,5,0.08131868131868132
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,GRASP,5,0.14505494505494507
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,GRASP,5,0.07692307692307693
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,GRASP,5,0.15604395604395604
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,GRASP,5,0.14505494505494507
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,GRASP,5,0.11428571428571428
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,GRASP,5,0.13846153846153847
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,GRASP,5,0.15604395604395604
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,GRASP,5,0.08791208791208792
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,GRASP,5,0.14945054945054945
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,GRASP,5,0.15164835164835164
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,GRASP,5,0.12967032967032968
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,GRASP,5,0.12087912087912088
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,GRASP,5,0.16263736263736264
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,GRASP,5,0.16263736263736264
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,GRASP,5,0.11648351648351649
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,GRASP,5,0.14945054945054945
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,GRASP,5,0.15384615384615385
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,GRASP,5,0.12307692307692308
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,GRASP,5,0.05714285714285714
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,PAML,5,0.14725274725274726
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,PAML,5,0.16923076923076924
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,PAML,5,0.18021978021978022
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,PAML,5,0.24175824175824176
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,PAML,5,0.11428571428571428
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,PAML,5,0.16923076923076924
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,PAML,5,0.25274725274725274
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,PAML,5,0.16483516483516483
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,PAML,5,0.15604395604395604
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,PAML,5,0.08571428571428572
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,PAML,5,0.06593406593406594
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,PAML,5,0.17802197802197803
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,PAML,5,0.15824175824175823
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,PAML,5,0.18021978021978022
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,PAML,5,0.11868131868131868
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,PAML,5,0.08131868131868132
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,PAML,5,0.08791208791208792
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,PAML,5,0.1912087912087912
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,PAML,5,0.12747252747252746
20 fixed joint,1,fixed,marginal,GRASP,5,20,fixed,joint,PAML,5,0.13846153846153847
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,FastML,5,0.14505494505494507
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,FastML,5,0.11648351648351649
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,FastML,5,0.09010989010989011
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,FastML,5,0.14505494505494507
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,FastML,5,0.15384615384615385
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,FastML,5,0.14505494505494507
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,FastML,5,0.12967032967032968
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,FastML,5,0.10989010989010989
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,FastML,5,0.12307692307692308
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,FastML,5,0.13626373626373625
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,FastML,5,0.15384615384615385
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,FastML,5,0.14725274725274726
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,FastML,5,0.07912087912087912
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,FastML,5,0.16263736263736264
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,FastML,5,0.15164835164835164
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,FastML,5,0.06153846153846154
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,FastML,5,0.15384615384615385
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,FastML,5,0.15604395604395604
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,FastML,5,0.08131868131868132
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,FastML,5,0.14505494505494507
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,GRASP,5,0.14285714285714285
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,GRASP,5,0.12087912087912088
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,GRASP,5,0.12087912087912088
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,GRASP,5,0.11208791208791209
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,GRASP,5,0.11868131868131868
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,GRASP,5,0.15164835164835164
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,GRASP,5,0.16043956043956045
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,GRASP,5,0.14945054945054945
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,GRASP,5,0.16043956043956045
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,GRASP,5,0.08131868131868132
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,GRASP,5,0.14065934065934066
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,GRASP,5,0.14505494505494507
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,GRASP,5,0.054945054945054944
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,GRASP,5,0.08131868131868132
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,GRASP,5,0.15604395604395604
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,GRASP,5,0.14505494505494507
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,GRASP,5,0.14285714285714285
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,GRASP,5,0.07472527472527472
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,GRASP,5,0.13186813186813187
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,GRASP,5,0.14505494505494507
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,PAML,5,0.14725274725274726
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,PAML,5,0.15604395604395604
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,PAML,5,0.22417582417582418
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,PAML,5,0.24175824175824176
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,PAML,5,0.11428571428571428
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,PAML,5,0.16263736263736264
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,PAML,5,0.24615384615384617
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,PAML,5,0.16263736263736264
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,PAML,5,0.14065934065934066
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,PAML,5,0.08351648351648351
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,PAML,5,0.06593406593406594
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,PAML,5,0.18021978021978022
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,PAML,5,0.17802197802197803
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,PAML,5,0.17802197802197803
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,PAML,5,0.12967032967032968
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,PAML,5,0.08131868131868132
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,PAML,5,0.09010989010989011
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,PAML,5,0.1912087912087912
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,PAML,5,0.12747252747252746
20 fixed marginal,1,fixed,marginal,GRASP,5,20,fixed,marginal,PAML,5,0.14065934065934066
20 variable joint,1,fixed,marginal,GRASP,5,20,variable,joint,FastML,5,0.14945054945054945
20 variable joint,1,fixed,marginal,GRASP,5,20,variable,joint,FastML,5,0.15384615384615385
20 variable joint,1,fixed,marginal,GRASP,5,20,variable,joint,FastML,5,0.07472527472527472
20 variable joint,1,fixed,marginal,GRASP,5,20,variable,joint,FastML,5,0.14065934065934066
20 variable joint,1,fixed,marginal,GRASP,5,20,variable,joint,FastML,5,0.13406593406593406
20 variable joint,1,fixed,marginal,GRASP,5,20,variable,joint,FastML,5,0.14725274725274726
20 variable joint,1,fixed,marginal,GRASP,5,20,variable,joint,FastML,5,0.12747252747252746
20 variable joint,1,fixed,marginal,GRASP,5,20,variable,joint,FastML,5,0.15604395604395604
20 variable joint,1,fixed,marginal,GRASP,5,20,variable,joint,FastML,5,0.15824175824175823
20 variable joint,1,fixed,marginal,GRASP,5,20,variable,joint,FastML,5,0.12087912087912088
20 variable joint,1,fixed,marginal,GRASP,5,20,variable,joint,FastML,5,0.06593406593406594
20 variable joint,1,fixed,marginal,GRASP,5,20,variable,joint,FastML,5,0.12747252747252746
20 variable joint,1,fixed,marginal,GRASP,5,20,variable,joint,FastML,5,0.15604395604395604
20 variable joint,1,fixed,marginal,GRASP,5,20,variable,joint,FastML,5,0.12087912087912088
20 variable joint,1,fixed,marginal,GRASP,5,20,variable,joint,FastML,5,0.15384615384615385
20 variable joint,1,fixed,marginal,GRASP,5,20,variable,joint,FastML,5,0.08131868131868132
20 variable joint,1,fixed,marginal,GRASP,5,20,variable,joint,FastML,5,0.09010989010989011
20 variable joint,1,fixed,marginal,GRASP,5,20,variable,joint,FastML,5,0.13846153846153847
20 variable joint,1,fixed,marginal,GRASP,5,20,variable,joint,FastML,5,0.15164835164835164
20 variable joint,1,fixed,marginal,GRASP,5,20,variable,joint,FastML,5,0.16043956043956045
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,FastML,5,0.14725274725274726
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,FastML,5,0.15604395604395604
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,FastML,5,0.07692307692307693
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,FastML,5,0.14285714285714285
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,FastML,5,0.13406593406593406
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,FastML,5,0.14065934065934066
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,FastML,5,0.11648351648351649
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,FastML,5,0.14725274725274726
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,FastML,5,0.16263736263736264
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,FastML,5,0.11428571428571428
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,FastML,5,0.06153846153846154
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,FastML,5,0.12527472527472527
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,FastML,5,0.15824175824175823
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,FastML,5,0.11868131868131868
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,FastML,5,0.14505494505494507
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,FastML,5,0.08131868131868132
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,FastML,5,0.08791208791208792
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,FastML,5,0.13626373626373625
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,FastML,5,0.14945054945054945
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,FastML,5,0.15604395604395604
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,PAML,5,0.24395604395604395
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,PAML,5,0.23076923076923078
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,PAML,5,0.07032967032967033
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,PAML,5,0.12527472527472527
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,PAML,5,0.17142857142857143
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,PAML,5,0.12747252747252746
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,PAML,5,0.17142857142857143
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,PAML,5,0.2175824175824176
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,PAML,5,0.15164835164835164
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,PAML,5,0.14505494505494507
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,PAML,5,0.18461538461538463
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,PAML,5,0.08571428571428572
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,PAML,5,0.18021978021978022
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,PAML,5,0.14945054945054945
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,PAML,5,0.14505494505494507
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,PAML,5,0.2087912087912088
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,PAML,5,0.06373626373626373
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,PAML,5,0.08351648351648351
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,PAML,5,0.18681318681318682
20 variable marginal,1,fixed,marginal,GRASP,5,20,variable,marginal,PAML,5,0.23956043956043957
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,FastML,5,0.09010989010989011
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,FastML,5,0.06153846153846154
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,FastML,5,0.07912087912087912
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,FastML,5,0.15824175824175823
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,FastML,5,0.07472527472527472
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,FastML,5,0.13406593406593406
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,FastML,5,0.15384615384615385
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,FastML,5,0.0989010989010989
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,FastML,5,0.11648351648351649
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,FastML,5,0.16043956043956045
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,FastML,5,0.11208791208791209
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,FastML,5,0.06153846153846154
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,FastML,5,0.08131868131868132
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,FastML,5,0.08571428571428572
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,FastML,5,0.06153846153846154
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,FastML,5,0.14065934065934066
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,FastML,5,0.06373626373626373
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,FastML,5,0.15604395604395604
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,FastML,5,0.1054945054945055
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,FastML,5,0.07032967032967033
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,GRASP,5,0.05934065934065934
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,GRASP,5,0.11648351648351649
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,GRASP,5,0.07912087912087912
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,GRASP,5,0.07692307692307693
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,GRASP,5,0.06813186813186813
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,GRASP,5,0.08791208791208792
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,GRASP,5,0.11648351648351649
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,GRASP,5,0.11428571428571428
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,GRASP,5,0.14945054945054945
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,GRASP,5,0.15164835164835164
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,GRASP,5,0.13406593406593406
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,GRASP,5,0.0945054945054945
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,GRASP,5,0.07032967032967033
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,GRASP,5,0.08351648351648351
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,GRASP,5,0.13186813186813187
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,GRASP,5,0.15164835164835164
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,GRASP,5,0.06153846153846154
10 fixed joint,1,fixed,marginal,GRASP,5,10,fixed,joint,GRASP,5,0.08791208791208792
